Customer ID,Branch Code,City,Age,Age_Group,Avg. Annual Income/Month,Income_Segment,Avg_Balance,Balance_Risk_Level,Balance_Volatility,Balance_Growth,Balance_Growth_Rate,Avg_Products,Product_Adoption,Max_Products,Product_Diversity,Avg_CreditCard,Avg_Active,Activity_Status,Activity_Trend,Risk_Score,Risk_Category,Unpaid Tagging
15570908,1008,Jakarta,38,36-45,23000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.25,Inactive,-1,0.7046080943861516,Very High Risk,0
15570947,1006,Jakarta,53,46-55,30000000,Very High Income,83894944.78,Low Risk,168828.5,-0.4012647282117316,-0.1337549109934259,2.75,High,3,2,1.0,0.5,Active,-1,0.5104000086626337,High Risk,1
15570990,1003,Jakarta,22,18-25,13000000,Very High Income,764462.485,Medium Risk,554011.5619414756,132432798.0,inf,1.5,Medium,2,2,1.0,1.0,Active,0,0.5984816053859667,High Risk,0
15571065,1002,Jakarta,41,36-45,31000000,Very High Income,255841.8,High Risk,280627.79589004844,65558640.0,inf,1.0,Low,1,1,1.0,0.75,Active,1,0.6111428972686492,High Risk,1
15571244,1007,Jakarta,22,18-25,14000000,Very High Income,83997607.48,Low Risk,233868.42824118008,0.4834078997863288,0.16113596851841844,1.0,Low,1,1,0.25,0.5,Active,-1,0.7743626889765155,Very High Risk,1
15571476,1006,Jakarta,48,46-55,15000000,Very High Income,279491.54500000004,High Risk,283442.30800875084,22162306.0,inf,2.0,Medium,2,1,1.0,0.75,Active,-1,0.6234992669497469,High Risk,0
15571586,1009,Jakarta,65,55+,19000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.25,Inactive,-1,0.7193075770030464,Very High Risk,0
15571940,1009,Jakarta,34,26-35,59000000,Very High Income,0.0,Very High Risk,0.0,0.0,,3.5,Very High,4,2,1.0,0.0,Inactive,0,0.5578066824621633,High Risk,1
15572073,1006,Jakarta,53,46-55,30000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.25,Inactive,-1,0.6788839998065858,High Risk,0
15572114,1002,Jakarta,64,55+,0,Low Income,114664043.4,Low Risk,125096.96239717414,0.009162459978407537,0.003210159584613829,1.25,Medium,2,2,1.0,0.5,Active,1,0.6614677886811358,High Risk,1
15572158,1001,Jakarta,70,55+,25000000,Very High Income,232061.31,High Risk,278414.20156166865,55667962.0,inf,2.25,High,3,2,1.0,0.75,Active,0,0.5751901121121143,High Risk,0
15572374,1003,Jakarta,57,55+,15000000,Very High Income,42143470.11,Low Risk,182291.45778304222,0.11711255723382426,0.04158410975287537,2.0,Medium,2,1,1.0,0.75,Active,-1,0.5843042541509291,High Risk,0
15572390,1004,Jakarta,43,36-45,53000000,Very High Income,12107435.47,Low Risk,511951.82569131115,10.19573227883757,3.2903519561577075,1.75,Medium,2,2,1.0,0.75,Active,1,0.48438516303147916,Medium Risk,0
15572398,1004,Jakarta,68,55+,27000000,Very High Income,163238026.1,Low Risk,227155.29382561173,-0.2929651967130252,-0.09772569805491793,2.0,Medium,2,1,1.0,0.5,Active,1,0.4819544847340121,Medium Risk,0
15572626,1008,Jakarta,39,36-45,45000000,Very High Income,54354938.14,Low Risk,349877.5588711952,1.3116035287388674,0.4362065106480739,1.0,Low,1,1,1.0,0.75,Active,1,0.5090446063720891,High Risk,0
15572728,1008,Jakarta,50,46-55,20000000,Very High Income,277992.41000000003,High Risk,292805.95830732386,21036188.0,inf,2.5,High,3,2,1.0,0.5,Active,0,0.6370396676571198,High Risk,0
15572777,1001,Jakarta,26,26-35,26000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.5,High,3,2,1.0,0.0,Inactive,0,0.7254968328417387,Very High Risk,0
15572801,1006,Jakarta,22,18-25,16000000,Very High Income,0.0,Very High Risk,0.0,0.0,,1.0,Low,1,1,1.0,0.0,Inactive,0,0.8318746675692665,Very High Risk,1
15573171,1001,Jakarta,36,36-45,50000000,Very High Income,42405643.65,Low Risk,60179.0,-0.28362417290711583,-0.0945413931969119,1.0,Low,1,1,1.0,0.25,Inactive,1,0.6121038605519741,High Risk,0
15573309,1008,Jakarta,53,46-55,18000000,Very High Income,69520263.06,Low Risk,146226.36080406295,-0.2913292363626238,-0.09693839708489285,2.25,High,3,2,1.0,0.5,Active,1,0.5911664145820221,High Risk,0
15573456,1002,Jakarta,25,18-25,19000000,Very High Income,131915883.1,Low Risk,0.0,0.0,0.0,1.0,Low,1,1,1.0,0.25,Inactive,-1,0.6422211823540332,High Risk,0
15573876,1001,Jakarta,36,36-45,38000000,Very High Income,1073649.525,Low Risk,742480.7660702885,171066070.0,inf,1.0,Low,1,1,1.0,0.75,Active,0,0.5846531328854221,High Risk,1
15573926,1004,Jakarta,54,46-55,28000000,Very High Income,31630966.06,Low Risk,137621.46976035388,0.9220302188601238,0.30664733449481396,1.0,Low,1,1,1.0,0.5,Active,0,0.6479157117308675,High Risk,0
15574115,1009,Jakarta,58,55+,30000000,Very High Income,154537896.25,Low Risk,167007.50264059994,0.06768474725344178,0.022684739961139254,1.0,Low,1,1,1.0,0.5,Active,1,0.5254947596348255,High Risk,1
15574119,1006,Jakarta,55,46-55,0,Low Income,329802.88,High Risk,387420.9584432148,57241276.0,inf,2.25,High,3,2,1.0,0.75,Active,0,0.6669703682429633,High Risk,0
15574137,1006,Jakarta,38,36-45,13000000,Very High Income,11422605.73,Low Risk,44966.425047843564,-0.5363390293993716,-0.1781450746469626,1.0,Low,1,1,1.0,0.5,Active,1,0.7219587827072246,Very High Risk,0
15574480,1007,Jakarta,26,26-35,15000000,Very High Income,27285279.75,Low Risk,179397.09075748693,0.5237418293376297,0.1782383108026105,1.5,Medium,2,2,1.0,0.5,Active,1,0.6765479554133728,High Risk,0
15574558,1003,Jakarta,56,55+,19000000,Very High Income,582638.16,Medium Risk,430032.5996679712,90733788.0,inf,2.0,Medium,2,1,1.0,0.5,Active,0,0.6636390241209226,High Risk,0
15574692,1009,Jakarta,27,26-35,35000000,Very High Income,142049061.75,Low Risk,212217.3046829986,-0.3104278737335497,-0.10355628259717253,2.75,High,3,2,0.25,0.75,Active,-1,0.506482878638861,High Risk,1
15575619,1002,Jakarta,58,55+,30000000,Very High Income,41139358.52,Low Risk,215868.9562489243,0.9130011789840501,0.3043337337594135,1.0,Low,1,1,1.0,0.25,Inactive,0,0.6867868289414755,High Risk,0
15575694,1006,Jakarta,66,55+,16000000,Very High Income,127015779.4,Low Risk,330710.31991407025,0.38673336107836,0.12909728247992486,2.0,Medium,2,1,1.0,0.75,Active,1,0.5011679619377921,High Risk,0
15575759,1004,Jakarta,57,55+,28000000,Very High Income,0.0,Very High Risk,0.0,0.0,,1.0,Low,1,1,1.0,0.25,Inactive,-1,0.7326531599052271,Very High Risk,0
15576065,1004,Jakarta,61,55+,21000000,Very High Income,22645.68,Very High Risk,45291.36,9058272.0,inf,2.0,Medium,2,1,0.25,0.25,Inactive,1,0.8359635183309281,Very High Risk,1
15576156,1009,Jakarta,32,26-35,38000000,Very High Income,35457217.08,Low Risk,30656.473247912912,-0.1721226272188172,-0.05739578749189104,1.0,Low,1,1,1.0,0.75,Active,0,0.5524616303913438,High Risk,0
15576196,1006,Jakarta,36,36-45,57000000,Very High Income,200847.97500000003,High Risk,234380.51782906897,11111930.0,inf,2.0,Medium,2,1,1.0,1.0,Active,0,0.4141052694437989,Medium Risk,0
15576269,1005,Jakarta,44,36-45,50000000,Very High Income,171592887.9,Low Risk,57834.411169591185,0.06648553970060544,0.022158796966772108,1.25,Medium,2,2,1.0,0.5,Active,0,0.4244248117870499,Medium Risk,0
15576352,1006,Jakarta,22,18-25,7000000,High Income,129330935.1,Low Risk,13860.0,-0.02142994209336647,-0.007143314086347867,1.75,Medium,2,2,1.0,0.5,Active,-1,0.5988021553962748,High Risk,0
15576526,1001,Jakarta,66,55+,24000000,Very High Income,24207616.45,Low Risk,237582.21079028622,-0.3833089384528437,-0.11852951948452632,1.0,Low,1,1,0.25,0.5,Active,1,0.7935921656837153,Very High Risk,1
15576550,1003,Jakarta,53,46-55,23000000,Very High Income,79389995.12,Low Risk,107143.50825567238,-0.23348200458730978,-0.07782733584160706,1.0,Low,1,1,1.0,0.5,Active,-1,0.6215758304874764,High Risk,0
15576683,1005,Jakarta,48,46-55,22000000,Very High Income,85302891.2,Low Risk,202620.1065319037,0.3121089969460582,0.1045592899041085,1.75,Medium,2,2,1.0,0.5,Active,0,0.5849002074628629,High Risk,0
15576714,1004,Jakarta,59,55+,15000000,Very High Income,82304499.72,Low Risk,231408.83660237925,-0.09223591179903155,-0.029920884175627105,1.0,Low,1,1,1.0,1.0,Active,0,0.5379999807097664,High Risk,0
15577078,1009,Jakarta,32,26-35,22000000,Very High Income,62162951.25,Low Risk,141028.5,-0.45219925227450736,-0.1507330865080851,1.0,Low,1,1,1.0,0.5,Active,-1,0.6413794645348418,High Risk,0
15577598,1008,Jakarta,69,55+,16000000,Very High Income,127956164.45,Low Risk,189879.6372009999,0.11421581039052653,0.03834862525022853,1.0,Low,1,1,1.0,0.75,Active,1,0.5467069483053166,High Risk,0
15578045,1005,Jakarta,66,55+,28000000,Very High Income,451461.60000000003,High Risk,313173.1927981065,66315280.00000001,inf,2.0,Medium,2,1,1.0,0.75,Active,-1,0.5755649420441628,High Risk,0
15578073,1008,Jakarta,34,26-35,21000000,Very High Income,146860595.5,Low Risk,104782.54425555178,0.09557475139613093,0.03188637901580342,1.25,Medium,2,2,1.0,0.75,Active,0,0.4990285286908031,Medium Risk,0
15578141,1003,Jakarta,25,18-25,4000000,Medium Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.0,Inactive,0,0.8295536966297569,Very High Risk,0
15578156,1006,Jakarta,24,18-25,16000000,Very High Income,567432.965,Medium Risk,390608.32811892626,68775662.0,inf,2.0,Medium,2,1,1.0,0.5,Active,0,0.6746778718976052,High Risk,0
15578462,1009,Jakarta,65,55+,20000000,Very High Income,68766969.47,Low Risk,198634.38832081252,0.5720584166360383,0.19073196285172012,1.25,Medium,2,2,1.0,0.75,Active,-1,0.5758183009065082,High Risk,0
15578671,1006,Jakarta,51,46-55,21000000,Very High Income,101219102.25,Low Risk,351577.90589320316,-0.7166202527460285,-0.2393000895205999,1.0,Low,1,1,1.0,0.75,Active,-1,0.5533650819371014,High Risk,0
15578747,1003,Jakarta,35,26-35,27000000,Very High Income,144874.89,High Risk,289749.78,57949956.00000001,inf,1.0,Low,1,1,0.25,0.25,Inactive,1,0.8602192764983002,Very High Risk,1
15578761,1006,Jakarta,36,36-45,48000000,Very High Income,221265575.4,Low Risk,116480.36565161243,0.07733494588699998,0.025799657925914172,2.75,High,3,2,0.25,0.5,Active,1,0.43966641852981353,Medium Risk,1
15578788,1001,Jakarta,58,55+,21000000,Very High Income,69715827.98,Low Risk,386427.46267432475,1.1648003983520183,0.38703367932121,1.0,Low,1,1,1.0,1.0,Active,0,0.5277368594646396,High Risk,0
15578835,1005,Jakarta,22,18-25,9000000,High Income,0.0,Very High Risk,0.0,0.0,,2.75,High,3,2,1.0,0.25,Inactive,-1,0.7212417194526377,Very High Risk,0
15578908,1008,Jakarta,47,46-55,26000000,Very High Income,323107.32499999995,High Risk,292872.92913150776,71143510.0,inf,2.0,Medium,2,1,1.0,0.5,Active,1,0.6381579144354876,High Risk,0
15578980,1007,Jakarta,26,26-35,40000000,Very High Income,75262185.43,Low Risk,197208.97256358122,-0.3860843052985786,-0.12783626836057788,1.0,Low,1,1,1.0,0.75,Active,1,0.5078446178532302,High Risk,0
15579433,1007,Jakarta,63,55+,27000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.0,Inactive,0,0.7450316715826121,Very High Risk,0
15579548,1003,Jakarta,69,55+,21000000,Very High Income,48447641.1,Low Risk,179304.8109616694,0.45905472067505476,0.15437685280369112,1.0,Low,1,1,1.0,0.75,Active,-1,0.6027721895767899,High Risk,0
15579559,1002,Jakarta,50,46-55,19000000,Very High Income,125271328.4,Low Risk,110117.0,0.1760377032899898,0.058679234899032075,2.0,Medium,2,1,1.0,0.5,Active,-1,0.5468996463229772,High Risk,0
15579583,1007,Jakarta,27,26-35,32000000,Very High Income,78628381.73,Low Risk,332982.6649305486,-1.0173753373947765,-0.3399448111118364,1.0,Low,1,1,1.0,0.75,Active,0,0.5340919928276996,High Risk,0
15579820,1002,Jakarta,22,18-25,19000000,Very High Income,67225027.07,Low Risk,166535.98994686373,0.44476307758939493,0.14821229101820155,1.0,Low,1,1,1.0,0.75,Active,-1,0.5925416647793827,High Risk,0
15579892,1006,Jakarta,33,26-35,34000000,Very High Income,25027017.67,Low Risk,236917.91354953864,0.48570169936710883,0.17028650562135317,2.25,High,3,2,1.0,0.5,Active,1,0.5740251393655514,High Risk,0
15580043,1001,Jakarta,59,55+,24000000,Very High Income,92566890.35,Low Risk,408629.86706472316,-0.9111527375552869,-0.30440951756069234,1.0,Low,1,1,1.0,0.75,Active,-1,0.550441075023997,High Risk,1
15580068,1001,Jakarta,29,26-35,25000000,Very High Income,83571968.27,Low Risk,147809.2872733307,0.377775538437843,0.1258830079520286,1.0,Low,1,1,1.0,0.5,Active,1,0.610310730516114,High Risk,0
15580134,1001,Jakarta,44,36-45,25000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.0,Inactive,0,0.7523814128910595,Very High Risk,0
15580149,1001,Jakarta,58,55+,25000000,Very High Income,100786234.35,Low Risk,15778.5,0.03131327435031205,0.010437758220338544,2.0,Medium,2,1,1.0,0.25,Inactive,1,0.6028975713101651,High Risk,0
15580203,1001,Jakarta,51,46-55,30000000,Very High Income,80955260.89,Low Risk,0.0,0.0,0.0,1.0,Low,1,1,1.0,0.0,Inactive,0,0.7046323805847556,Very High Risk,1
15580623,1007,Jakarta,57,55+,25000000,Very High Income,70897448.7,Low Risk,0.0,0.0,0.0,2.0,Medium,2,1,1.0,0.25,Inactive,-1,0.6308808489691187,High Risk,0
15580914,1003,Jakarta,22,18-25,21000000,Very High Income,711057.32,Medium Risk,824581.1273640352,132886213.99999999,inf,1.0,Low,1,1,1.0,0.5,Active,1,0.7025884695847782,Very High Risk,0
15581089,1009,Jakarta,42,36-45,15000000,Very High Income,60156471.81,Low Risk,85030.41559544051,-0.2445238715266123,-0.08150795852881476,2.0,Medium,2,1,0.25,0.25,Inactive,0,0.8017126445207498,Very High Risk,1
15581237,1003,Jakarta,47,46-55,27000000,Very High Income,45244419.17,Low Risk,261467.7867832543,-0.769358616233765,-0.2550299975743261,1.0,Low,1,1,1.0,1.0,Active,0,0.5285989118773506,High Risk,1
15581252,1002,Jakarta,35,26-35,40000000,Very High Income,106195369.7,Low Risk,197160.4981261037,-0.32105336792839784,-0.1070177903155926,1.75,Medium,2,2,1.0,0.25,Inactive,0,0.5543150809414742,High Risk,0
15581295,1006,Jakarta,37,36-45,32000000,Very High Income,49445613.85,Low Risk,211338.2058983499,-0.5582341449744987,-0.18503265912836647,1.0,Low,1,1,1.0,0.5,Active,1,0.6165373234755287,High Risk,0
15581370,1005,Jakarta,38,36-45,16000000,Very High Income,117297541.2,Low Risk,142165.97355673168,0.029047953280033994,0.009827465118150691,1.0,Low,1,1,0.25,0.5,Active,1,0.7358359938023797,Very High Risk,1
15581539,1004,Jakarta,70,55+,20000000,Very High Income,0.0,Very High Risk,0.0,0.0,,1.0,Low,1,1,1.0,0.25,Inactive,-1,0.7620521251390167,Very High Risk,0
15581551,1009,Jakarta,31,26-35,37000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.0,Inactive,0,0.7082829650403752,Very High Risk,0
15582016,1004,Jakarta,64,55+,25000000,Very High Income,79826883.29,Low Risk,252667.00158558498,-0.3487614874064804,-0.11563320458259178,1.0,Low,1,1,1.0,0.75,Active,1,0.5586939942476135,High Risk,0
15582246,1004,Jakarta,56,55+,22000000,Very High Income,609990.535,Medium Risk,445280.53624258353,55679738.0,inf,1.0,Low,1,1,1.0,0.5,Active,1,0.6990082223769492,High Risk,1
15582404,1001,Jakarta,66,55+,20000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.0,Inactive,0,0.7707557661621779,Very High Risk,0
15582762,1002,Jakarta,53,46-55,19000000,Very High Income,92997772.97,Low Risk,333924.5720851492,0.7655846375400702,0.25476500342338504,1.0,Low,1,1,1.0,0.75,Active,-1,0.5684120158535705,High Risk,0
15582797,1004,Jakarta,35,26-35,17000000,Very High Income,153277010.85,Low Risk,158674.1021914099,-0.1930992905292266,-0.06430251113239693,1.0,Low,1,1,1.0,0.75,Active,1,0.5193255181518811,High Risk,1
15582944,1002,Jakarta,68,55+,17000000,Very High Income,414640.21499999997,High Risk,350926.9120079604,69502062.0,inf,2.75,High,3,2,1.0,1.0,Active,0,0.526085369235714,High Risk,0
15583073,1005,Jakarta,30,26-35,30000000,Very High Income,63268978.77,Low Risk,40784.79817591354,0.0877989970923214,0.029302861412972003,2.0,Medium,2,1,1.0,0.75,Active,0,0.5094025060548865,High Risk,0
15583090,1008,Jakarta,62,55+,21000000,Very High Income,923483.615,Medium Risk,629519.5946885806,113840582.0,inf,2.0,Medium,2,1,1.0,0.5,Active,0,0.6559701673717293,High Risk,0
15583371,1002,Jakarta,26,26-35,22000000,Very High Income,12369038.28,Low Risk,151294.63804114144,-2.0963892195280778,-0.6987964624127874,1.0,Low,1,1,1.0,0.5,Active,-1,0.6879988524444767,High Risk,0
15583548,1009,Jakarta,67,55+,19000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.25,High,3,2,1.0,0.25,Inactive,-1,0.7077027223054978,Very High Risk,0
15583724,1001,Jakarta,58,55+,0,Low Income,69607508.67,Low Risk,413609.0092929956,1.1088605744416145,0.3692350782756907,2.0,Medium,2,1,1.0,1.0,Active,0,0.5585911380123119,High Risk,0
15583748,1003,Jakarta,60,55+,21000000,Very High Income,14095626.76,Low Risk,156677.0450393101,1.7236097454100672,0.5773045056010839,1.0,Low,1,1,1.0,0.75,Active,1,0.6349341504766826,High Risk,0
15583857,1004,Jakarta,58,55+,18000000,Very High Income,50159.93,Very High Risk,57919.69817606557,10031986.0,inf,2.0,Medium,2,1,1.0,0.5,Active,-1,0.6678124257737598,High Risk,0
15584090,1007,Jakarta,58,55+,21000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.25,Inactive,-1,0.7119578356945989,Very High Risk,0
15584453,1006,Jakarta,26,26-35,36000000,Very High Income,49181217.97,Low Risk,254304.43370823612,-1.1129228908997468,-0.3719581676345637,1.0,Low,1,1,1.0,0.75,Active,1,0.5469623208218544,High Risk,0
15584477,1002,Jakarta,53,46-55,26000000,Very High Income,8842721.1,Low Risk,52163.0,1.1903276471378055,0.3967759276501874,3.75,Very High,4,2,1.0,0.25,Inactive,0,0.6040705308766203,High Risk,1
15584776,1001,Jakarta,64,55+,28000000,Very High Income,162717628.75,Low Risk,177827.5,-0.21845252184228087,-0.0728175077280254,2.0,Medium,2,1,1.0,0.5,Active,0,0.4787668343940749,Medium Risk,0
15584812,1005,Jakarta,51,46-55,20000000,Very High Income,0.0,Very High Risk,0.0,0.0,,3.5,Very High,4,2,1.0,0.25,Inactive,-1,0.6460035781635318,High Risk,0
15585036,1005,Jakarta,43,36-45,35000000,Very High Income,63883358.04,Low Risk,269970.26887665485,-0.8920817464693469,-0.29788803071818526,2.0,Medium,2,1,1.0,0.5,Active,1,0.5455760020180909,High Risk,1
15585192,1006,Jakarta,42,36-45,59000000,Very High Income,41085276.8,Low Risk,185612.5,-0.8974657271050888,-0.2991552496006763,1.75,Medium,2,2,1.0,0.5,Active,-1,0.490328589896184,Medium Risk,0
15585241,1004,Jakarta,32,26-35,18000000,Very High Income,341607.12,High Risk,394949.9412114475,70744924.0,inf,2.0,Medium,2,1,1.0,0.75,Active,0,0.6124164994834523,High Risk,0
15585256,1008,Jakarta,54,46-55,23000000,Very High Income,27480780.92,Low Risk,177263.45607503728,0.531766019895086,0.18245562523430497,1.0,Low,1,1,1.0,0.75,Active,-1,0.6150526024313103,High Risk,0
15585284,1007,Jakarta,45,36-45,59000000,Very High Income,114508726.5,Low Risk,79377.0,-0.13849520770237633,-0.04616506963686466,1.0,Low,1,1,1.0,0.25,Inactive,0,0.5115237495317,High Risk,0
15585867,1001,Jakarta,37,36-45,49000000,Very High Income,63714971.25,Low Risk,449344.5916490483,1.5641717345061967,0.5189838706337824,1.0,Low,1,1,1.0,0.75,Active,1,0.48558182341635564,Medium Risk,1
15585888,1001,Jakarta,24,18-25,8000000,High Income,34710712.5,Low Risk,209337.59194659712,-1.1360712008736333,-0.37766449993055595,1.0,Low,1,1,0.25,0.75,Active,1,0.7874335470658244,Very High Risk,1
15585907,1007,Jakarta,54,46-55,30000000,Very High Income,36643.015,Very High Risk,73286.03,14657206.0,inf,2.0,Medium,2,1,1.0,0.25,Inactive,1,0.6788496929038225,High Risk,0
15586135,1006,Jakarta,49,46-55,20000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.0,Inactive,0,0.7707557661621779,Very High Risk,0
15586522,1005,Jakarta,47,46-55,26000000,Very High Income,610719.6900000001,Medium Risk,436081.38011522376,62985292.00000001,inf,2.0,Medium,2,1,1.0,1.0,Active,0,0.5276425186741697,High Risk,0
15586674,1007,Jakarta,43,36-45,42000000,Very High Income,332615.49,High Risk,221743.65999999997,44348732.0,inf,1.0,Low,1,1,0.25,0.25,Inactive,0,0.8049204451631717,Very High Risk,1
15586931,1007,Jakarta,58,55+,24000000,Very High Income,79375758.56,Low Risk,0.0,0.0,0.0,2.0,Medium,2,1,1.0,0.0,Inactive,0,0.6817409896024349,High Risk,0
